<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20191206;000000;104.6900000;106.1700000;104.4300000;106.1700000;5321850
MOEX;D;20191209;000000;106.1700000;106.2900000;105.1200000;106.0500000;3620140
MOEX;D;20191210;000000;105.7100000;105.9600000;104.3000000;104.8000000;4264220
MOEX;D;20191211;000000;104.9000000;106.3000000;104.7600000;106.3000000;9323160
MOEX;D;20191212;000000;106.4100000;109.9500000;106.2000000;108.0900000;8894000
MOEX;D;20191213;000000;108.4100000;109.9100000;107.8300000;108.9600000;7006530
MOEX;D;20191216;000000;109.3900000;109.9800000;108.8100000;109.0900000;5325030
MOEX;D;20191217;000000;109.0500000;111.4000000;108.2200000;109.0500000;7418460
MOEX;D;20191218;000000;109.0000000;109.5000000;107.2600000;107.2800000;7416920
MOEX;D;20191219;000000;107.5900000;109.0000000;107.4000000;108.5500000;7522810
MOEX;D;20191220;000000;108.3200000;108.5900000;107.4800000;107.4800000;4639180
MOEX;D;20191223;000000;107.6500000;108.2600000;107.4000000;108.0500000;2513230
MOEX;D;20191224;000000;108.1000000;108.1000000;106.9400000;107.2000000;1732790
MOEX;D;20191225;000000;107.2500000;107.3400000;106.3700000;106.8200000;1953190
MOEX;D;20191226;000000;106.6000000;107.3400000;106.1000000;106.7400000;1856950
MOEX;D;20191227;000000;106.8200000;107.3500000;106.2400000;107.0800000;2950320
MOEX;D;20191230;000000;107.1900000;108.2000000;106.9400000;107.7500000;3990450
MOEX;D;20200103;000000;107.8800000;109.8600000;106.7000000;107.1800000;5154350
MOEX;D;20200106;000000;107.1900000;108.0300000;106.4200000;108.0300000;2311860
MOEX;D;20200108;000000;107.7000000;111.1800000;107.5000000;110.8400000;9716990
MOEX;D;20200109;000000;110.7300000;111.2000000;109.6000000;111.0000000;5641720
MOEX;D;20200110;000000;111.0100000;113.0000000;110.6100000;112.9900000;7684170
MOEX;D;20200113;000000;112.9900000;114.2000000;112.1600000;114.1000000;7726580
MOEX;D;20200114;000000;114.1900000;115.0000000;113.2300000;114.0200000;6812770
MOEX;D;20200115;000000;113.7000000;115.8800000;113.5400000;115.8800000;10340810
MOEX;D;20200116;000000;116.0000000;116.3800000;113.8100000;114.5000000;9399950
MOEX;D;20200117;000000;114.4300000;115.2600000;114.0700000;114.8000000;6495930
MOEX;D;20200120;000000;114.8100000;116.0000000;114.4300000;116.0000000;7351930
MOEX;D;20200121;000000;115.9000000;115.9900000;113.2000000;114.6200000;8473780
MOEX;D;20200122;000000;114.6200000;114.9700000;113.5800000;114.5000000;6653770
MOEX;D;20200123;000000;114.1100000;114.4500000;112.2700000;113.8200000;5101440
MOEX;D;20200124;000000;113.9000000;114.4200000;112.6300000;113.0000000;4310050
MOEX;D;20200127;000000;112.6100000;112.9500000;109.9800000;110.6200000;6145540
MOEX;D;20200128;000000;110.9300000;112.4900000;109.3000000;111.3000000;5365180
MOEX;D;20200129;000000;111.8900000;113.4400000;110.9100000;111.8000000;4691560
MOEX;D;20200130;000000;111.5600000;112.5800000;110.8100000;111.8100000;5369210
MOEX;D;20200131;000000;111.8200000;112.5000000;109.9400000;109.9400000;5533850
MOEX;D;20200203;000000;107.9900000;111.8900000;107.4700000;110.9400000;7576010
MOEX;D;20200204;000000;111.4500000;113.9400000;111.2200000;113.3500000;9947810
MOEX;D;20200205;000000;113.9600000;114.5500000;112.4700000;113.3000000;5914250
MOEX;D;20200206;000000;113.7900000;114.3000000;110.4900000;112.4200000;7776560
MOEX;D;20200207;000000;112.3900000;113.3800000;111.3100000;113.1600000;4936740
MOEX;D;20200210;000000;112.7300000;113.9400000;111.5300000;113.8000000;6625080
MOEX;D;20200211;000000;113.8200000;115.0000000;112.1400000;114.0000000;5484050
MOEX;D;20200212;000000;114.1600000;114.4900000;112.2200000;112.9100000;7314950
MOEX;D;20200213;000000;112.7600000;113.1300000;111.8000000;112.2500000;5115260
MOEX;D;20200214;000000;112.5400000;112.8800000;111.5200000;112.5000000;3345060
MOEX;D;20200217;000000;112.8200000;112.9500000;112.0100000;112.8000000;2223950
MOEX;D;20200218;000000;112.5000000;112.5700000;111.5700000;111.8000000;4161000
MOEX;D;20200219;000000;112.0300000;112.5400000;111.6000000;111.6500000;3622010
MOEX;D;20200220;000000;111.9000000;112.3200000;111.6500000;112.0000000;5661670
MOEX;D;20200221;000000;111.8800000;112.5200000;111.2000000;111.3300000;4941690
MOEX;D;20200225;000000;110.6800000;111.2900000;107.5400000;107.5400000;9511800
MOEX;D;20200226;000000;107.5100000;107.5200000;105.1000000;107.3000000;12937820
MOEX;D;20200227;000000;106.6600000;106.9000000;104.1200000;104.7300000;10684200
MOEX;D;20200228;000000;101.8100000;103.5000000;92.3000000;99.0800000;29274200
